CustomerKey,GeographyKey,CustomerName,BirthDate,MaritalStatus,Gender
11000,26,Jon Yang,10/6/1971,Married,Male
11001,37,Eugene Huang,5/10/1976,Single,Male
11002,31,Ruben Torres,2/9/1971,Married,Male
11003,11,Christy Zhu,8/14/1973,Single,Female
11004,19,Elizabeth Johnson,8/5/1979,Single,Female
11005,22,Julio Ruiz,8/1/1976,Single,Male
11006,8,Janet Alvarez,12/2/1976,Single,Female
11007,40,Marco Mehta,11/6/1969,Married,Male
11008,32,Rob Verhoff,7/4/1975,Single,Female
11009,25,Shannon Carlson,9/29/1969,Single,Male
11010,22,Jacquelyn Suarez,8/5/1969,Single,Female
11011,22,Curtis Lu,5/3/1969,Married,Male
11012,611,Lauren Walker,1/14/1979,Married,Female
11013,543,Ian Jenkins,8/3/1979,Married,Male
11014,634,Sydney Bennett,11/6/1973,Single,Female
11015,301,Chloe Young,8/26/1984,Single,Female
11016,329,Wyatt Hill,10/25/1984,Married,Male
11017,39,Shannon Wang,12/24/1949,Single,Female
11018,32,Clarence Rai,10/6/1955,Single,Male
11019,52,Luke Lal,9/4/1983,Single,Male
11020,53,Jordan King,3/19/1984,Single,Male
11021,536,Destiny Wilson,3/2/1984,Single,Female
11022,609,Ethan Zhang,4/10/1984,Married,Male
11023,298,Seth Edwards,4/9/1984,Married,Male
11024,311,Russell Xie,3/16/1984,Married,Male
11025,24,Alejandro Beck,6/22/1951,Married,Male
11026,4,Harold Sai,10/1/1951,Single,Male
11027,40,Jessie Zhao,6/5/1952,Married,Male
11028,17,Jill Jimenez,10/9/1951,Married,Female
11029,32,Jimmy Moreno,6/19/1952,Married,Male
11030,28,Bethany Yuan,2/18/1958,Married,Female
11031,8,Theresa Ramos,2/18/1953,Married,Female
11032,35,Denise Stone,12/8/1952,Married,Female
11033,9,Jaime Nath,9/19/1958,Married,Male
11034,12,Ebony Gonzalez,12/16/1952,Married,Female
11035,33,Wendy Dominguez,8/23/1953,Married,Female
11036,343,Jennifer Russell,6/16/1984,Married,Female
11037,49,Chloe Garcia,5/27/1983,Single,Female
11038,6,Diana Hernandez,9/20/1953,Married,Female
11039,19,Marc Martin,6/16/1954,Married,Male
11040,642,Jesse Murphy,1/29/1983,Married,Male
11041,325,Amanda Carter,4/15/1983,Married,Female
11042,338,Megan Sanchez,12/11/1982,Married,Female
11043,325,Nathan Simmons,8/23/1981,Married,Male
11044,25,Adam Flores,11/21/1954,Married,Male
11045,8,Leonard Nara,11/16/1955,Single,Male
11046,6,Christine Yuan,9/19/1955,Married,Female
11047,34,Jaclyn Lu,8/27/1955,Married,Female
11048,39,Jeremy Powell,5/21/1956,Married,Male
11049,307,Carol Rai,1/15/1986,Single,Female
11050,31,Alan Zheng,3/6/1957,Married,Male
11051,21,Daniel Johnson,1/31/1957,Single,Male
11052,8,Heidi Lopez,2/3/1957,Single,Female
11053,359,Ana Price,2/17/1986,Married,Female
11054,34,Deanna Munoz,9/7/1957,Married,Female
11055,22,Gilbert Raje,9/2/1957,Married,Male
11056,10,Michele Nath,10/1/1958,Married,Female
11057,5,Carl Andersen,4/7/1970,Married,Male
11058,29,Marc Diaz,4/23/1965,Married,Male
11059,27,Ashlee Andersen,9/29/1959,Single,Female
11060,40,Jon Zhou,9/14/1959,Married,Male
11061,23,Todd Gao,2/20/1976,Married,Male
11062,547,Noah Powell,3/1/1981,Married,Male
11063,634,Angela Murphy,10/4/1980,Single,Female
11064,315,Chase Reed,6/5/1981,Married,Male
11065,331,Jessica Henderson,4/8/1979,Married,Female
11066,543,Grace Butler,5/27/1979,Married,Female
